item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,Recht;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu
4,kommen,medium,3,"Auf Autofahrer , die an dem Steuer telefonieren , kommen möglicherweise härtere Strafen",zu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Auf Autofahrer , die am Steuer telefonieren , kommen möglicherweise härtere Strafen zu .",möglicherweise härtere Strafen,hdt-s71923,de_hdt-ud-train-a-2.conllu
5,kommen,medium,3,Der Begriff Open Source kommt dabei allerdings nicht,vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,Der Begriff Open Source kommt dabei allerdings nicht vor .,dabei allerdings nicht,hdt-s59420,de_hdt-ud-train-a-1.conllu
6,kommen,medium,4,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge",davon,Recht;an;auf;aus;daher;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge davon .",mit einem blauen Auge,hdt-s51799,de_hdt-ud-train-a-1.conllu
7,kommen,long,12,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht",klar,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht klar .",offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht,hdt-s21211,de_hdt-ud-train-a-1.conllu
8,kommen,long,9,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hinzu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte hinzu .","hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hdt-s13747,de_hdt-ud-test.conllu
9,kommen,long,12,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung",aus,Recht;an;auf;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung aus , was ein Vergleich der maximalen Leistungsaufnahme auch bestätigt :",der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung,hdt-s188571,de_hdt-ud-train-b-2.conllu
10,gehen,short,1,Verfassungschützer gehen davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Verfassungschützer gehen davon aus , dass es rund 800 deutschsprachige Internet-Angebote mit rechtsextremistischen Inhalten gibt .",davon,hdt-s104778,de_hdt-ud-dev.conllu
