item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,vor;weg,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.18740040063858032,-0.18740040063858032,-9.5345;-6.6504,-6.650350093841553,6.462949693202972,1
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,zusammen;zuvor,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-8.51415729522705,-8.51415729522705,-8.6313;-11.2314,-8.63132381439209,0.11716651916503906,1
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,weiter;zuteil,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-3.8003315925598145,-3.8003315925598145,-8.8952;-7.4784,-7.478405475616455,3.6780738830566406,1
4,kommen,short,2,Jetzt komme es darauf,an,hin;raus,"Jetzt komme es darauf an , T-Online auf die Bereiche Inhalte und E-Commerce zu konzentrieren , sagte Markus Glockenmeier von Frankfurter Delbrück Privatbankiers .",es darauf,hdt-s179715,de_hdt-ud-train-b-2.conllu,-0.029839282855391502,-0.029839282855391502,-10.2245;-11.5614,-10.224534034729004,10.194694751873612,1
5,kommen,short,2,Erschwerend für den Exmonopolisten kommt außerdem noch,dazu,an;hinzu,"Erschwerend für den Exmonopolisten kommt außerdem noch dazu , dass er sich keineswegs allein auf dem Breitbankmarkt im Vereinigten Königreich ausbreiten kann .",außerdem noch,hdt-s32121,de_hdt-ud-train-a-1.conllu,-3.1726019382476807,-3.1726019382476807,-8.2836;-0.2735,-0.2734549939632416,-2.899146944284439,0
6,kommen,medium,4,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern",zurück,weiter;voran,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern zurück .",wieder zu den Absendern,hdt-s111919,de_hdt-ud-dev.conllu,-0.12517796456813812,-0.12517796456813812,-10.2553;-16.3843,-10.25534725189209,10.130169287323952,1
7,kommen,medium,5,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs",zurecht,zustande;weiter,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs zurecht .",aber auch mit normalen Audio-CDs,hdt-s47612,de_hdt-ud-train-a-1.conllu,-0.49791839718818665,-0.49791839718818665,-11.5332;-8.9837,-8.983738899230957,8.48582050204277,1
8,kommen,medium,6,"Wer nur zwei serielle Schnittstellen an dem iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter",aus,wieder;weg,"Wer nur zwei serielle Schnittstellen am iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter aus .",auch mit Keyspans USB Serial Adapter,hdt-s54166,de_hdt-ud-train-a-1.conllu,-2.9771437644958496,-2.9771437644958496,-6.5593;-9.6978,-6.55934476852417,3.5822010040283203,1
9,kommen,medium,4,Doch es kommt auf das gesamte System,an,durch;hin,"Doch es kommt auf das gesamte System an , auf die Kombination aus Mainboard , Speicher , Grafikkarte und Festplatte .",auf das gesamte System,hdt-s185215,de_hdt-ud-train-b-2.conllu,-0.1615820676088333,-0.1615820676088333,-9.4565;-8.6775,-8.677521705627441,8.515939638018608,1
10,kommen,medium,3,Die iniuria kam in zwei Typen,vor,rein;entgegen,"Die iniuria kam in zwei Typen vor: Als Verbalinjurie und als Realinjurie, was etwa Beleidigung und Körperverletzung entspricht.",in zwei Typen,train-s4466,de_gsd-ud-train.conllu,-4.009828567504883,-4.009828567504883,-7.4579;-8.3882,-7.457944869995117,3.4481163024902344,1
