item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,vor;weg,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.10475043952465057,-0.10475043952465057,-5.3023;-5.0794,-5.0794172286987305,4.97466678917408,1
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,zusammen;zuvor,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-5.725673198699951,-5.725673198699951,-7.0575;-9.8589,-7.057532787322998,1.3318595886230469,1
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,weiter;zuteil,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-5.037054538726807,-5.037054538726807,-8.0050;-10.1149,-8.00497817993164,2.967923641204834,1
4,kommen,short,2,Jetzt komme es darauf,an,hin;raus,"Jetzt komme es darauf an , T-Online auf die Bereiche Inhalte und E-Commerce zu konzentrieren , sagte Markus Glockenmeier von Frankfurter Delbrück Privatbankiers .",es darauf,hdt-s179715,de_hdt-ud-train-b-2.conllu,-0.0015031717484816909,-0.0015031717484816909,-12.5082;-11.5189,-11.518876418471336,11.517373246722855,1
5,kommen,short,2,Erschwerend für den Exmonopolisten kommt außerdem noch,dazu,an;hinzu,"Erschwerend für den Exmonopolisten kommt außerdem noch dazu , dass er sich keineswegs allein auf dem Breitbankmarkt im Vereinigten Königreich ausbreiten kann .",außerdem noch,hdt-s32121,de_hdt-ud-train-a-1.conllu,-7.267468452453613,-7.267468452453613,-8.5046;-3.0776,-3.077561378479004,-4.189907073974609,0
6,kommen,medium,4,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern",zurück,weiter;voran,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern zurück .",wieder zu den Absendern,hdt-s111919,de_hdt-ud-dev.conllu,-2.491751194000244,-2.491751194000244,-5.8643;-13.0645,-5.864271640777588,3.3725204467773438,1
7,kommen,medium,5,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs",zurecht,zustande;weiter,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs zurecht .",aber auch mit normalen Audio-CDs,hdt-s47612,de_hdt-ud-train-a-1.conllu,-5.830561118607875,-1.9435203728692916,-10.2939;-8.1760,-8.175983428955078,2.345422310347203,1
8,kommen,medium,6,"Wer nur zwei serielle Schnittstellen an dem iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter",aus,wieder;weg,"Wer nur zwei serielle Schnittstellen am iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter aus .",auch mit Keyspans USB Serial Adapter,hdt-s54166,de_hdt-ud-train-a-1.conllu,-4.277435302734375,-4.277435302734375,-6.7801;-9.8597,-6.7801361083984375,2.5027008056640625,1
9,kommen,medium,4,Doch es kommt auf das gesamte System,an,durch;hin,"Doch es kommt auf das gesamte System an , auf die Kombination aus Mainboard , Speicher , Grafikkarte und Festplatte .",auf das gesamte System,hdt-s185215,de_hdt-ud-train-b-2.conllu,-0.17333918809890747,-0.17333918809890747,-10.3672;-9.2864,-9.286425590515137,9.11308640241623,1
10,kommen,medium,3,Die iniuria kam in zwei Typen,vor,rein;entgegen,"Die iniuria kam in zwei Typen vor: Als Verbalinjurie und als Realinjurie, was etwa Beleidigung und Körperverletzung entspricht.",in zwei Typen,train-s4466,de_gsd-ud-train.conllu,-1.930550217628479,-1.930550217628479,-9.2615;-9.0444,-9.04438304901123,7.1138328313827515,1
11,kommen,long,23,"Damit kommen die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück",näher,dazu;davon,"Damit kommen die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück näher .","die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück",hdt-s24289,de_hdt-ud-train-a-1.conllu,-0.04835576191544533,-0.04835576191544533,-14.7161;-11.7882,-11.788247108459473,11.739891346544027,1
12,kommen,long,14,Zu den reinen Lizenzkosten kommen Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen,hinzu,los;zuvor,Zu den reinen Lizenzkosten kommen Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen hinzu .,Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen,hdt-s148405,de_hdt-ud-train-b-1.conllu,-0.9002241492271423,-0.9002241492271423,-14.9441;-13.7450,-13.744954109191895,12.844729959964752,1
13,kommen,long,8,"Sollte die Klägerin in dem Prozeß Recht bekommen , warnt er , käme dies "" einem Maulkorb für das Internet """,gleich,näher;zuvor,"Sollte die Klägerin in dem Prozeß Recht bekommen , warnt er , käme dies "" einem Maulkorb fürs Internet "" gleich .","dies "" einem Maulkorb für das Internet """,hdt-s95946,de_hdt-ud-train-a-2.conllu,-0.1554008424282074,-0.1554008424282074,-8.6127;-7.9186,-7.9186224937438965,7.763221651315689,1
14,kommen,long,11,"Es ist in einer Armbanduhr untergebracht und kommt ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur",aus,unter;hierher,"Es ist in einer Armbanduhr untergebracht und kommt ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur aus .","ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur",hdt-s74871,de_hdt-ud-train-a-2.conllu,-0.3543854057788849,-0.3543854057788849,-9.6614;-14.6814,-9.661373138427734,9.30698773264885,1
15,kommen,long,9,So kommen die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs,zurecht,vor;an,"So kommen die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs zurecht , die in mehreren Sessions beschrieben sind : ihnen fehlt die Multisessionfähigkeit .",die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs,hdt-s24279,de_hdt-ud-train-a-1.conllu,-4.05996471492108,-1.35332157164036,-6.5191;-5.4054,-5.405394554138184,1.345429839217104,1
16,gehen,short,2,"Der Professor , der sich vor seinem Wechsel in die Informatik lange Jahre mit Statistik beschäftigt hat , ging ein Hauptargument",an,bergauf;voraus,"Der Professor , der sich vor seinem Wechsel in die Informatik lange Jahre mit Statistik beschäftigt hat , ging ein Hauptargument an , das die ganze Diskussion über die IT-Migranten auch bei der deutschen Green-Card-Regelung begleitet hat :",ein Hauptargument,hdt-s149267,de_hdt-ud-train-b-1.conllu,-3.1582911014556885,-3.1582911014556885,-15.7210;-7.8743,-7.874294281005859,4.716003179550171,1
17,gehen,short,2,35 Prozent unter ihnen gehen sogar davon,aus,ein;zugrunde,"35 Prozent unter ihnen gehen sogar davon aus , daß es Gratistelefonate schon binnen eines Jahres geben wird .",sogar davon,hdt-s77092,de_hdt-ud-train-a-2.conllu,-0.0013828248484060168,-0.0013828248484060168,-10.5232;-14.9426,-10.523233413696289,10.521850588847883,1
18,gehen,short,1,Eine E-Mail mit sexuellem Inhalt ging weltweit,herum,auf;hinaus,"Eine E-Mail mit sexuellem Inhalt ging weltweit herum , nachdem der Empfänger , ein Rechtsanwalt , sie von seinem Arbeitsplatz aus stolz an einige Freunde weitergeleitet hatte .",weltweit,hdt-s92833,de_hdt-ud-train-a-2.conllu,-6.258006572723389,-6.258006572723389,-2.8775;-10.1016,-2.877498149871826,-3.3805084228515625,0
19,gehen,short,2,Rechtsanwalt geht gegen Abmahn-Datenbank,vor,vorbei;voran,Rechtsanwalt geht gegen Abmahn-Datenbank vor,gegen Abmahn-Datenbank,hdt-s14426,de_hdt-ud-test.conllu,-0.6027378439903259,-0.6027378439903259,-11.3959;-6.8157,-6.815745770931244,6.213007926940918,1
20,gehen,short,1,"Die Telekom öffnet den anmeldepflichtigen T-Online-by-Call-Zugang ausschließlich über ISDN , Kunden mit analogem Anschluss gehen leer",aus,zusammen;zu,"Die Telekom öffnet den anmeldepflichtigen T-Online-by-Call-Zugang ausschließlich über ISDN , Kunden mit analogem Anschluss gehen leer aus .",leer,hdt-s199754,de_hdt-ud-train-b-2.conllu,-0.020593050867319107,-0.020593050867319107,-10.8799;-9.9392,-9.939164161682129,9.91857111081481,1
21,gehen,medium,7,E-Plus geht mit Hutchison zu der Ersteigerung einer UMTS-Lizenz,zusammen,einher;aufwärts,E-Plus geht mit Hutchison zur Ersteigerung einer UMTS-Lizenz zusammen .,mit Hutchison zu der Ersteigerung einer UMTS-Lizenz,hdt-s143931,de_hdt-ud-train-b-1.conllu,-5.609511375427246,-5.609511375427246,-4.9781;-8.0204,-4.978139877319336,-0.6313714981079102,0
22,gehen,medium,3,Sie geht nicht nur davon,aus,bergauf;herum,"Sie geht nicht nur davon aus , dass bereits im Jahr 2003 mehr als eine Milliarde Mobilfunk-Teilnehmer weltweit geben wird , sondern dass im selben Jahr auch die Zahl der mobilen Internet-Zugangsgeräte die Anzahl der PCs mit Internet-Anbindung übersteigt .",nicht nur davon,hdt-s20009,de_hdt-ud-train-a-1.conllu,-0.00436757504940033,-0.00436757504940033,-16.9028;-15.7888,-15.788827896118164,15.784460321068764,1
23,gehen,medium,3,Dem Regelbetrieb in Ludwigshafen gingen Experimente in Bremen,voraus,weiter;hinaus,Dem Regelbetrieb in Ludwigshafen gingen Experimente in Bremen voraus .,Experimente in Bremen,hdt-s171165,de_hdt-ud-train-b-2.conllu,-6.490589141845703,-6.490589141845703,-5.5655;-10.1581,-5.565460205078125,-0.9251289367675781,0
24,gehen,medium,5,Geht das Verfahren positiv für Microsoft,aus,hinweg;hinaus,"Geht das Verfahren positiv für Microsoft aus , erscheint eine erneute Anklage wegen der Serversoftware zunächst unwahrscheinlich .",das Verfahren positiv für Microsoft,hdt-s37122,de_hdt-ud-train-a-1.conllu,-5.423692226409912,-5.423692226409912,-15.5033;-9.3021,-9.30211067199707,3.878418445587158,1
25,gehen,medium,3,Britische Geheimdienste gehen wieder gegen Web-Veröffentlichungen,vor,nach;weg,Britische Geheimdienste gehen wieder gegen Web-Veröffentlichungen vor,wieder gegen Web-Veröffentlichungen,hdt-s7545,de_hdt-ud-dev.conllu,-0.030854422599077225,-0.030854422599077225,-7.7295;-13.8529,-7.729546546936035,7.698692124336958,1
26,gehen,long,36,"Aus dem Poker gingen D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zu der Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger",hervor,hinweg;weiter,"Aus dem Poker gingen D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zur Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger hervor .","D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zu der Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger",hdt-s56797,de_hdt-ud-train-a-1.conllu,-0.11918088793754578,-0.11918088793754578,-13.7270;-9.1639,-9.163932800292969,9.044751912355423,1
27,gehen,long,18,Der von James Clark und Stephen Deach ( Adobe ) verfaßte Draft geht nicht nur wegen seines Umfangs weit über die von Microsoft und anderen in dem August 1997 eingereicht Note,hinaus,bergauf;ab,Der von James Clark und Stephen Deach ( Adobe ) verfaßte Draft geht nicht nur wegen seines Umfangs weit über die von Microsoft und anderen im August 1997 eingereicht Note hinaus .,nicht nur wegen seines Umfangs weit über die von Microsoft und anderen in dem August 1997 eingereicht Note,hdt-s110119,de_hdt-ud-dev.conllu,-2.4437997341156006,-2.4437997341156006,-17.1332;-8.8151,-8.815069198608398,6.371269464492798,1
28,gehen,long,8,Der Reply geht dann wieder ordnungsgemäß als E-Mail an den Absender,zurück,verloren;vor,Der Reply geht dann wieder ordnungsgemäß als E-Mail an den Absender zurück .,dann wieder ordnungsgemäß als E-Mail an den Absender,hdt-s28418,de_hdt-ud-train-a-1.conllu,-3.2642245292663574,-3.2642245292663574,-7.6477;-8.3613,-7.647685527801514,4.383460998535156,1
29,gehen,long,13,"Zwei Tage , bevor in Stockholm die Kerzen an den Weihnachtsbäumen angezündet wurden , gingen in dem Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter",aus,auseinander;los,"Zwei Tage , bevor in Stockholm die Kerzen an den Weihnachtsbäumen angezündet wurden , gingen im Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter aus - der zweite Schlag für Webmiles nach dem Ende der Kooperation mit Ricardo vor wenigen Wochen .",in dem Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter,hdt-s173462,de_hdt-ud-train-b-2.conllu,-0.444648414850235,-0.444648414850235,-8.3302;-6.6430,-6.642978191375732,6.198329776525497,1
30,gehen,long,12,An dem 26. Juli will Infineon die Zahlen für das morgen endende dritte Quartal vorlegen und geht von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ),aus,einher;zu,Am 26. Juli will Infineon die Zahlen für das morgen endende dritte Quartal vorlegen und geht von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ) aus .,von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ),hdt-s46136,de_hdt-ud-train-a-1.conllu,-0.1656818836927414,-0.1656818836927414,-9.8519;-7.4748,-7.474836349487305,7.309154465794563,1
31,stellen,short,1,Man stelle sich,vor,richtig;hin,"Man stelle sich vor , die GMD oder das Fraunhofer Institut würden hierzulande nämliches machen .",sich,hdt-s98191,de_hdt-ud-train-a-2.conllu,-0.5822253227233887,-0.5822253227233887,-11.7902;-9.3957,-9.395671844482422,8.813446521759033,1
32,stellen,short,2,Transmeta stellt den Crusoe-Prozessor,her,fest;gleich,"Transmeta stellt den Crusoe-Prozessor her , der vor allem durch seine geringe Stromaufnahme ( unter 5 Watt bei 600 MHz ) und daher geringe Hitzeentwicklung glänzt .",den Crusoe-Prozessor,hdt-s185118,de_hdt-ud-train-b-2.conllu,-4.515244483947754,-4.515244483947754,-8.3740;-8.7167,-8.373967170715332,3.858722686767578,1
