item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,vor;weg,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.322934627532959,-0.322934627532959,-7.4227;-6.0999,-6.0998969078063965,5.7769622802734375,1
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,zusammen;zuvor,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-7.011423587799072,-7.011423587799072,-7.5021;-11.6372,-7.502115726470947,0.490692138671875,1
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,weiter;zuteil,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-4.774594306945801,-4.774594306945801,-10.3826;-6.9245,-6.924511909484863,2.1499176025390625,1
4,kommen,short,2,Jetzt komme es darauf,an,hin;raus,"Jetzt komme es darauf an , T-Online auf die Bereiche Inhalte und E-Commerce zu konzentrieren , sagte Markus Glockenmeier von Frankfurter Delbrück Privatbankiers .",es darauf,hdt-s179715,de_hdt-ud-train-b-2.conllu,-0.007054422050714493,-0.007054422050714493,-10.7618;-12.6264,-10.761807441711426,10.754753019660711,1
5,kommen,short,2,Erschwerend für den Exmonopolisten kommt außerdem noch,dazu,an;hinzu,"Erschwerend für den Exmonopolisten kommt außerdem noch dazu , dass er sich keineswegs allein auf dem Breitbankmarkt im Vereinigten Königreich ausbreiten kann .",außerdem noch,hdt-s32121,de_hdt-ud-train-a-1.conllu,-5.300678253173828,-5.300678253173828,-8.9027;-0.1286,-0.1286127120256424,-5.172065541148186,0
6,kommen,medium,4,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern",zurück,weiter;voran,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern zurück .",wieder zu den Absendern,hdt-s111919,de_hdt-ud-dev.conllu,-1.24808931350708,-1.24808931350708,-7.1334;-11.1406,-7.133388996124268,5.8852996826171875,1
7,kommen,medium,5,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs",zurecht,zustande;weiter,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs zurecht .",aber auch mit normalen Audio-CDs,hdt-s47612,de_hdt-ud-train-a-1.conllu,-1.697237253189087,-1.697237253189087,-10.0623;-6.7484,-6.74839973449707,5.051162481307983,1
8,kommen,medium,6,"Wer nur zwei serielle Schnittstellen an dem iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter",aus,wieder;weg,"Wer nur zwei serielle Schnittstellen am iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter aus .",auch mit Keyspans USB Serial Adapter,hdt-s54166,de_hdt-ud-train-a-1.conllu,-3.240121603012085,-3.240121603012085,-6.9039;-11.0411,-6.903909683227539,3.663788080215454,1
9,kommen,medium,4,Doch es kommt auf das gesamte System,an,durch;hin,"Doch es kommt auf das gesamte System an , auf die Kombination aus Mainboard , Speicher , Grafikkarte und Festplatte .",auf das gesamte System,hdt-s185215,de_hdt-ud-train-b-2.conllu,-0.11608553677797318,-0.11608553677797318,-7.5876;-8.3486,-7.587551593780518,7.471466057002544,1
10,kommen,medium,3,Die iniuria kam in zwei Typen,vor,rein;entgegen,"Die iniuria kam in zwei Typen vor: Als Verbalinjurie und als Realinjurie, was etwa Beleidigung und Körperverletzung entspricht.",in zwei Typen,train-s4466,de_gsd-ud-train.conllu,-2.7116308212280273,-2.7116308212280273,-6.9258;-10.2506,-6.925833702087402,4.214202880859375,1
