model,stem,n_candidates,accuracy,n_items
fullrank_german-gpt2,finden,10,1.000,9
fullrank_german-gpt2,sehen,11,0.889,9
fullrank_german-gpt2,treten,14,0.889,9
fullrank_german-gpt2,führen,15,0.667,9
fullrank_german-gpt2,bringen,16,0.444,9
fullrank_german-gpt2,schlagen,16,1.000,9
fullrank_german-gpt2,fallen,17,0.667,9
fullrank_german-gpt2,laufen,17,0.444,9
fullrank_german-gpt2,nehmen,19,0.889,9
fullrank_german-gpt2,machen,19,0.889,9
fullrank_german-gpt2,setzen,20,0.667,9
fullrank_german-gpt2,ziehen,20,0.667,9
fullrank_german-gpt2,halten,21,0.889,9
fullrank_german-gpt2,geben,25,0.889,9
fullrank_german-gpt2,stellen,27,0.667,9
fullrank_german-gpt2,gehen,41,1.000,9
fullrank_german-gpt2,kommen,44,0.667,9
fullrank_gerpt2-large,finden,10,1.000,9
fullrank_gerpt2-large,sehen,11,0.778,9
fullrank_gerpt2-large,treten,14,0.889,9
fullrank_gerpt2-large,führen,15,0.556,9
fullrank_gerpt2-large,bringen,16,0.444,9
fullrank_gerpt2-large,schlagen,16,0.889,9
fullrank_gerpt2-large,fallen,17,0.889,9
fullrank_gerpt2-large,laufen,17,0.556,9
fullrank_gerpt2-large,nehmen,19,0.889,9
fullrank_gerpt2-large,machen,19,0.889,9
fullrank_gerpt2-large,setzen,20,0.778,9
fullrank_gerpt2-large,ziehen,20,0.556,9
fullrank_gerpt2-large,halten,21,0.778,9
fullrank_gerpt2-large,geben,25,0.889,9
fullrank_gerpt2-large,stellen,27,0.667,9
fullrank_gerpt2-large,gehen,41,1.000,9
fullrank_gerpt2-large,kommen,44,0.556,9
fullrank_mgpt,finden,10,1.000,9
fullrank_mgpt,sehen,11,0.778,9
fullrank_mgpt,treten,14,0.889,9
fullrank_mgpt,führen,15,0.444,9
fullrank_mgpt,bringen,16,0.556,9
fullrank_mgpt,schlagen,16,1.000,9
fullrank_mgpt,fallen,17,0.778,9
fullrank_mgpt,laufen,17,0.556,9
fullrank_mgpt,nehmen,19,0.889,9
fullrank_mgpt,machen,19,0.889,9
fullrank_mgpt,setzen,20,0.889,9
fullrank_mgpt,ziehen,20,0.667,9
fullrank_mgpt,halten,21,0.778,9
fullrank_mgpt,geben,25,0.667,9
fullrank_mgpt,stellen,27,0.444,9
fullrank_mgpt,gehen,41,0.778,9
fullrank_mgpt,kommen,44,0.556,9
