item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct,rank,n_candidates,reciprocal_rank
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,Recht;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.32294774055480957,-0.32294774055480957,-20.2106;-3.8067;-5.5818;-7.8459;-9.1239;-8.2273;-9.7828;-4.3529;-10.7530;-13.2938;-12.7120;-9.8955;-9.4467;-10.5056;-11.8208;-11.1770;-9.0717;-10.4063;-9.6449;-11.0248;-13.0870;-8.4840;-12.1095;-6.1028;-6.9446;-14.2560;-7.1434;-6.7963;-8.2772;-7.4227;-3.0492;-13.9224;-6.0999;-8.3281;-9.8145;-6.4916;-14.8759;-7.0480;-10.3480;-9.2065;-12.8603;-23.6779;-14.2948,-3.0492050647735596,2.72625732421875,1,1,44,1.0
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-7.011418342590332,-7.011418342590332,-15.2041;-3.6300;-4.2468;-3.4215;-7.2771;-7.1264;-6.0808;-9.8557;-6.2623;-9.9056;-10.1232;-7.4540;-9.9024;-8.1313;-11.8133;-9.7535;-11.8427;-8.0012;-11.6760;-5.5787;-7.1985;-8.5672;-10.0422;-11.6095;-5.5761;-6.2748;-7.9659;-9.7664;-10.0825;-7.0124;-3.9240;-3.2976;-7.8620;-7.8443;-6.6059;-2.3385;-9.9051;-12.5862;-7.4943;-7.5021;-6.3481;-18.7990;-11.6372,-2.338475227355957,-4.672943115234375,0,14,44,0.07142857142857142
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-4.774595260620117,-4.774595260620117,-5.7446;-6.3190;-6.0168;-5.6977;-5.3022;-9.7377;-7.6139;-11.1129;-6.3710;-2.3588;-5.4403;-6.5403;-10.3806;-10.3720;-12.7719;-10.9015;-9.4857;-10.6012;-12.8095;-11.5434;-8.4918;-7.2414;-9.9027;-18.1921;-5.2335;-4.9716;-7.9862;-13.9661;-9.0758;-7.9657;-12.1677;-12.9202;-9.6436;-10.3826;-6.3625;-3.5590;-2.9921;-11.4302;-9.7261;-11.7596;-13.6611;-6.9245;-6.0052,-2.3588316440582275,-2.4157636165618896,0,4,44,0.25
4,kommen,medium,3,"Auf Autofahrer , die an dem Steuer telefonieren , kommen möglicherweise härtere Strafen",zu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Auf Autofahrer , die am Steuer telefonieren , kommen möglicherweise härtere Strafen zu .",möglicherweise härtere Strafen,hdt-s71923,de_hdt-ud-train-a-2.conllu,-3.2128405570983887,-3.2128405570983887,-15.4299;-5.8713;-4.0391;-6.2566;-6.0350;-6.1565;-5.8343;-7.6675;-5.5977;-6.4116;-10.7046;-9.5754;-6.8208;-6.6975;-9.6951;-9.3011;-12.9464;-8.1283;-10.7546;-8.5154;-5.7728;-7.1288;-10.0598;-12.8376;-5.4946;-5.3112;-11.1771;-6.8682;-7.8944;-7.3191;-3.6311;-9.4009;-7.1698;-8.1723;-10.4357;-9.4124;-5.6091;-9.0488;-6.9351;-7.3701;-7.0201;-10.5843;-11.9417,-3.63112211227417,0.41828155517578125,1,1,44,1.0
5,kommen,medium,3,Der Begriff Open Source kommt dabei allerdings nicht,vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,Der Begriff Open Source kommt dabei allerdings nicht vor .,dabei allerdings nicht,hdt-s59420,de_hdt-ud-train-a-1.conllu,-1.5245492458343506,-1.5245492458343506,-14.5613;-5.0974;-3.5511;-4.2639;-7.6924;-9.1081;-8.0626;-11.8203;-5.8057;-11.6994;-7.8874;-5.9599;-8.0356;-6.9538;-12.1305;-10.8264;-11.9491;-10.9862;-12.2989;-11.2160;-9.6765;-8.3194;-6.4948;-12.3203;-5.4588;-8.0444;-5.6438;-9.4076;-7.9940;-7.7556;-7.7842;-11.3256;-8.9759;-6.7162;-7.3421;-3.9570;-10.8760;-10.2992;-9.5492;-8.7373;-7.2669;-16.6186;-12.7925,-3.551114797592163,2.0265655517578125,1,1,44,1.0
6,kommen,medium,4,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge",davon,Recht;an;auf;aus;daher;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge davon .",mit einem blauen Auge,hdt-s51799,de_hdt-ud-train-a-1.conllu,-0.001765955938026309,-0.001765955938026309,-21.7356;-11.6069;-11.4494;-8.8200;-12.9803;-15.3838;-16.0993;-11.6309;-15.1080;-11.5951;-14.8662;-15.2765;-9.9729;-15.8227;-14.0930;-17.7144;-17.4545;-17.7130;-14.3523;-20.0031;-17.6297;-13.8374;-17.7470;-12.3983;-7.6738;-19.3611;-10.7793;-13.5712;-13.8175;-12.0145;-16.4656;-15.2711;-11.8453;-12.6338;-8.2540;-10.5413;-18.8697;-14.1626;-9.0545;-16.3012;-20.2002;-25.5232;-17.1218,-7.67384672164917,7.672080765711144,1,1,44,1.0
7,kommen,long,12,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht",klar,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht klar .",offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht,hdt-s21211,de_hdt-ud-train-a-1.conllu,-2.0487923622131348,-2.0487923622131348,-11.4002;-3.7486;-4.6800;-4.9520;-6.3987;-9.1635;-9.0022;-9.5215;-3.3005;-10.6952;-10.2684;-5.5942;-8.1910;-7.2069;-10.0465;-6.0361;-10.9066;-7.4397;-7.1600;-4.3298;-10.9203;-7.7945;-10.5313;-4.9532;-3.9839;-7.8965;-7.4383;-7.3767;-6.1562;-6.4606;-4.4636;-10.2497;-8.7663;-4.0259;-7.1453;-5.5467;-11.3070;-1.9474;-8.2816;-5.0944;-8.7022;-17.9226;-10.4440,-1.9473673105239868,-0.10142505168914795,0,2,44,0.5
8,kommen,long,9,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hinzu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte hinzu .","hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hdt-s13747,de_hdt-ud-test.conllu,-2.4582228660583496,-2.4582228660583496,-15.5673;-3.1184;-2.8823;-3.4072;-5.5341;-9.1774;-4.3169;-8.5510;-4.2723;-7.7037;-9.0511;-8.7371;-8.4020;-6.0581;-7.3613;-8.4364;-11.3731;-6.6860;-10.1419;-12.5466;-6.4937;-10.1010;-14.0185;-4.7221;-7.3170;-8.7715;-7.3889;-5.5045;-6.1738;-3.3001;-8.7004;-8.5738;-8.9105;-10.2440;-7.1321;-3.4080;-7.3061;-8.2751;-8.9890;-4.3399;-3.4526;-17.2101;-12.0406,-2.882310390472412,0.4240875244140625,1,1,44,1.0
9,kommen,long,12,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung",aus,Recht;an;auf;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung aus , was ein Vergleich der maximalen Leistungsaufnahme auch bestätigt :",der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung,hdt-s188571,de_hdt-ud-train-b-2.conllu,-0.7108031511306763,-0.7108031511306763,-18.3309;-4.7473;-2.4087;-3.6771;-6.5543;-8.5944;-10.9724;-5.2617;-7.4804;-10.0768;-7.7172;-8.2698;-4.7600;-9.6116;-9.0270;-11.6417;-8.7412;-9.6997;-7.4611;-10.1318;-10.3798;-7.0623;-11.5689;-6.1716;-6.8148;-9.9815;-6.9513;-8.0414;-5.5433;-5.9678;-6.0642;-12.1658;-8.1185;-6.4521;-7.4836;-5.8575;-8.5874;-4.2872;-8.0859;-8.1263;-7.5331;-18.1870;-12.3153,-2.408717155456543,1.6979140043258667,1,1,44,1.0
10,gehen,short,1,Verfassungschützer gehen davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Verfassungschützer gehen davon aus , dass es rund 800 deutschsprachige Internet-Angebote mit rechtsextremistischen Inhalten gibt .",davon,hdt-s104778,de_hdt-ud-dev.conllu,-0.004655119031667709,-0.004655119031667709,-10.8464;-20.3119;-14.0385;-12.7052;-19.8880;-14.6318;-21.5862;-17.3688;-16.2412;-13.6756;-17.8861;-16.8433;-15.2215;-15.7090;-16.3318;-15.5045;-15.5346;-16.3019;-17.7854;-16.9025;-12.7192;-12.7162;-13.1071;-19.7065;-13.7616;-19.5885;-13.4022;-16.6838;-22.0906;-10.6866;-15.5415;-14.7540;-18.1379;-12.7697;-13.1973;-12.1836;-14.7990;-11.4845;-17.4858;-11.1383,-10.686593055725098,10.68193793669343,1,1,41,1.0
