item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,vor;weg,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,zusammen;zuvor,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,weiter;zuteil,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu
4,kommen,short,2,Jetzt komme es darauf,an,hin;raus,"Jetzt komme es darauf an , T-Online auf die Bereiche Inhalte und E-Commerce zu konzentrieren , sagte Markus Glockenmeier von Frankfurter Delbrück Privatbankiers .",es darauf,hdt-s179715,de_hdt-ud-train-b-2.conllu
5,kommen,short,2,Erschwerend für den Exmonopolisten kommt außerdem noch,dazu,an;hinzu,"Erschwerend für den Exmonopolisten kommt außerdem noch dazu , dass er sich keineswegs allein auf dem Breitbankmarkt im Vereinigten Königreich ausbreiten kann .",außerdem noch,hdt-s32121,de_hdt-ud-train-a-1.conllu
6,kommen,medium,4,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern",zurück,weiter;voran,"E-Mail , die an GMX-Postfächer geschickt wird , kommt wieder zu den Absendern zurück .",wieder zu den Absendern,hdt-s111919,de_hdt-ud-dev.conllu
7,kommen,medium,5,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs",zurecht,zustande;weiter,"Das Autoradio Cape Canaveral verfügt über ein CDROM-Laufwerk , über das es MP3-Dateien von CD lesen kann ; es kommt aber auch mit normalen Audio-CDs zurecht .",aber auch mit normalen Audio-CDs,hdt-s47612,de_hdt-ud-train-a-1.conllu
8,kommen,medium,6,"Wer nur zwei serielle Schnittstellen an dem iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter",aus,wieder;weg,"Wer nur zwei serielle Schnittstellen am iMac nachrüsten möchte , kommt auch mit Keyspans USB Serial Adapter aus .",auch mit Keyspans USB Serial Adapter,hdt-s54166,de_hdt-ud-train-a-1.conllu
9,kommen,medium,4,Doch es kommt auf das gesamte System,an,durch;hin,"Doch es kommt auf das gesamte System an , auf die Kombination aus Mainboard , Speicher , Grafikkarte und Festplatte .",auf das gesamte System,hdt-s185215,de_hdt-ud-train-b-2.conllu
10,kommen,medium,3,Die iniuria kam in zwei Typen,vor,rein;entgegen,"Die iniuria kam in zwei Typen vor: Als Verbalinjurie und als Realinjurie, was etwa Beleidigung und Körperverletzung entspricht.",in zwei Typen,train-s4466,de_gsd-ud-train.conllu
