item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct,rank,n_candidates,reciprocal_rank
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,Recht;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.10475043952465057,-0.10475043952465057,-15.3269;-6.1538;-6.2146;-10.6758;-11.2247;-9.8162;-11.2799;-6.0176;-8.8675;-16.9598;-13.9542;-11.4688;-11.3348;-9.3472;-12.2238;-13.5649;-9.0842;-10.2977;-9.7697;-15.5085;-12.7265;-7.4967;-11.3101;-6.7407;-7.7523;-15.1868;-8.2923;-8.7658;-8.4195;-5.3023;-5.4394;-12.2443;-5.0794;-10.8058;-10.7917;-7.4504;-10.6198;-4.9699;-10.7701;-8.9512;-11.2574;-23.1953;-15.4414,-4.969905012723757,4.865154573199106,1,1,44,1.0
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-5.725673198699951,-5.725673198699951,-12.6848;-2.9766;-3.2244;-3.1327;-8.2489;-4.1106;-3.9359;-8.5522;-4.9037;-9.3103;-9.8930;-6.8275;-8.1579;-8.8186;-9.3689;-7.6795;-7.9154;-7.4648;-9.0622;-7.6634;-6.7157;-9.4395;-7.4143;-8.2503;-4.5186;-5.3982;-8.7997;-9.3460;-9.2068;-6.0191;-3.5591;-3.7916;-5.0675;-7.3042;-6.9661;-2.3318;-8.6287;-8.3714;-5.5657;-7.0575;-5.6712;-17.1980;-9.8589,-2.331786632537842,-3.3938865661621094,0,15,44,0.06666666666666667
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-5.037054538726807,-5.037054538726807,-6.8622;-4.5034;-4.7632;-5.9296;-6.0708;-9.4675;-7.9495;-11.7867;-5.5059;-4.9313;-6.7148;-5.0844;-10.3714;-10.2991;-11.6630;-12.9350;-9.8660;-8.0554;-13.0823;-9.7426;-10.1172;-7.9326;-9.3584;-11.8637;-4.2959;-5.3556;-6.2216;-10.2687;-9.8088;-6.1284;-6.5344;-9.4348;-10.2658;-8.0050;-4.9955;-2.2803;-3.7513;-7.9600;-7.6809;-8.6455;-6.3103;-10.1149;-7.9037,-2.2802720069885254,-2.7567825317382812,0,8,44,0.125
4,kommen,medium,3,"Auf Autofahrer , die an dem Steuer telefonieren , kommen möglicherweise härtere Strafen",zu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Auf Autofahrer , die am Steuer telefonieren , kommen möglicherweise härtere Strafen zu .",möglicherweise härtere Strafen,hdt-s71923,de_hdt-ud-train-a-2.conllu,-1.2031264305114746,-1.2031264305114746,-13.1012;-5.1411;-3.0529;-7.1239;-7.2506;-7.9823;-6.7592;-8.5157;-4.6761;-8.4412;-13.1603;-10.8130;-8.8814;-6.5811;-10.9836;-11.0204;-14.8122;-7.6699;-11.4183;-8.5362;-4.8414;-10.4999;-12.1137;-10.4471;-4.7487;-3.7528;-14.2582;-6.4112;-8.4541;-6.1034;-4.3548;-9.3348;-8.6307;-9.4478;-11.2456;-10.0837;-5.6453;-7.2630;-8.4434;-8.6035;-4.0716;-7.2473;-12.2231,-3.0528616905212402,1.8497352600097656,1,1,44,1.0
5,kommen,medium,3,Der Begriff Open Source kommt dabei allerdings nicht,vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,Der Begriff Open Source kommt dabei allerdings nicht vor .,dabei allerdings nicht,hdt-s59420,de_hdt-ud-train-a-1.conllu,-3.9828009605407715,-3.9828009605407715,-13.4761;-5.7887;-3.8548;-2.4906;-7.0501;-6.2558;-7.4829;-12.1975;-5.5595;-8.5000;-7.9127;-5.0787;-9.3314;-8.5814;-9.9970;-10.6358;-9.4177;-9.3870;-10.6947;-9.8973;-8.9037;-11.1107;-6.3658;-11.8897;-5.7200;-7.6727;-6.3701;-9.9858;-8.5617;-8.4285;-9.3112;-8.9973;-8.3400;-6.5877;-7.7933;-3.8881;-13.4597;-8.5898;-6.7723;-7.7056;-6.2272;-16.9019;-9.6796,-2.4905943870544434,-1.4922065734863281,0,4,44,0.25
6,kommen,medium,4,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge",davon,Recht;an;auf;aus;daher;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge davon .",mit einem blauen Auge,hdt-s51799,de_hdt-ud-train-a-1.conllu,-0.01895563118159771,-0.01895563118159771,-16.6197;-8.6628;-8.4880;-5.7015;-7.3570;-11.8947;-10.3671;-7.3576;-11.4451;-13.5951;-12.6492;-11.9142;-10.7220;-11.8783;-12.2450;-12.6337;-10.0673;-15.8747;-13.3562;-13.3722;-12.6773;-10.1142;-12.3910;-12.4299;-7.4938;-14.4740;-11.7096;-12.9132;-12.3711;-8.4469;-12.9818;-11.7514;-10.6064;-10.8484;-9.0459;-7.0778;-14.0236;-10.7352;-6.6031;-11.7907;-13.5061;-15.9879;-14.6739,-5.701534748077393,5.682579116895795,1,1,44,1.0
7,kommen,long,12,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht",klar,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht klar .",offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht,hdt-s21211,de_hdt-ud-train-a-1.conllu,-1.9692453145980835,-1.9692453145980835,-9.8110;-5.6315;-4.2942;-4.1926;-7.6121;-7.3831;-10.2606;-10.6124;-5.0474;-8.6979;-9.3013;-7.4651;-8.9608;-7.8952;-13.1428;-8.1168;-10.4635;-5.9366;-6.6218;-5.4518;-11.9178;-8.0830;-8.9817;-6.4161;-5.8964;-8.4891;-10.9259;-8.5608;-9.0996;-5.8323;-6.8601;-7.2257;-6.6324;-4.7539;-8.9606;-4.3318;-11.0192;-1.6815;-8.8506;-4.0853;-5.1671;-17.8324;-10.3502,-1.6814957301539835,-0.28774958444410004,0,2,44,0.5
8,kommen,long,9,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hinzu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte hinzu .","hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hdt-s13747,de_hdt-ud-test.conllu,-1.3263193368911743,-1.3263193368911743,-16.2886;-5.4637;-2.3533;-3.3942;-5.2814;-10.2419;-4.1881;-8.1341;-5.4337;-7.3916;-11.5922;-8.5442;-8.1217;-4.6761;-8.6452;-9.3271;-14.4868;-7.6205;-12.9422;-9.6252;-7.6097;-8.1093;-11.4223;-4.5374;-7.0383;-10.5810;-4.6981;-6.5329;-7.4852;-2.6486;-7.7788;-9.8192;-10.3341;-10.5384;-6.8865;-3.0955;-8.7379;-10.3122;-8.3115;-4.9343;-3.8740;-13.5587;-13.0527,-2.353323459625244,1.0270041227340698,1,1,44,1.0
9,kommen,long,12,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung",aus,Recht;an;auf;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung aus , was ein Vergleich der maximalen Leistungsaufnahme auch bestätigt :",der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung,hdt-s188571,de_hdt-ud-train-b-2.conllu,-0.47692811489105225,-0.47692811489105225,-15.9643;-4.9886;-3.2532;-2.9689;-9.0860;-8.7004;-7.2868;-5.2989;-10.2440;-12.2377;-8.7397;-7.9311;-4.4602;-11.6513;-9.9515;-15.4087;-7.6119;-10.8608;-9.7304;-9.4299;-9.2166;-6.7693;-9.2155;-6.6590;-6.4231;-7.8687;-6.2864;-6.5187;-8.0859;-5.6267;-6.7960;-10.2331;-8.4319;-8.0929;-6.0565;-5.6774;-11.5438;-5.9734;-8.5487;-7.0371;-6.3586;-14.2874;-12.9054,-2.9689135551452637,2.4919854402542114,1,1,44,1.0
10,gehen,short,1,Verfassungschützer gehen davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Verfassungschützer gehen davon aus , dass es rund 800 deutschsprachige Internet-Angebote mit rechtsextremistischen Inhalten gibt .",davon,hdt-s104778,de_hdt-ud-dev.conllu,-0.0008611546363681555,-0.0008611546363681555,-10.5209;-24.4140;-12.6161;-11.5180;-18.7838;-13.6126;-20.1726;-16.3796;-11.9318;-11.7871;-20.5416;-14.8360;-19.4359;-14.3143;-19.4193;-13.1578;-13.4423;-13.5084;-17.1666;-17.3295;-13.6127;-12.8551;-11.9660;-19.2953;-15.1474;-21.5392;-13.4124;-16.8696;-21.5678;-11.7073;-19.2648;-16.7141;-20.7646;-13.1184;-14.3286;-14.6154;-17.7988;-14.4180;-18.6733;-9.4049,-9.404881477355957,9.404020322719589,1,1,41,1.0
