item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file,correct_logprob,correct_logprob_per_token,distractor_logprobs,best_distractor_logprob,margin,model_prefers_correct,rank,n_candidates,reciprocal_rank
1,kommen,short,1,""" Unsere neuen Produkte kommen gut",an,Recht;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,""" Unsere neuen Produkte kommen gut an "" , sagte Deutschland-Geschäftsführer Frank Steinhoff am heutigen Donnerstag .",gut,hdt-s157082,de_hdt-ud-train-b-1.conllu,-0.18741533160209656,-0.18741533160209656,-16.2173;-7.0218;-6.9869;-9.9415;-11.0992;-10.9927;-10.9339;-6.8882;-11.3158;-15.4532;-11.4553;-11.0059;-10.0801;-9.5370;-9.6511;-13.3521;-9.6521;-10.1230;-12.7207;-11.7543;-13.2501;-8.6764;-10.8062;-6.9006;-8.8617;-12.7010;-9.2932;-8.8635;-7.2021;-9.5346;-4.9455;-11.1333;-6.6504;-10.4630;-10.0645;-7.3746;-14.4063;-7.8409;-10.0767;-9.9003;-11.5108;-18.4427;-14.3829,-4.945521354675293,4.758106023073196,1,1,44,1.0
2,kommen,short,2,Die Polizeiarbeit komme aber nicht,weiter,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die Polizeiarbeit komme aber nicht weiter , wenn nach deutschem Recht verbotene Inhalte im Ausland eingestellt werden , wo sie nicht strafbar sind .",aber nicht,hdt-s2505,de_hdt-ud-dev.conllu,-8.514163970947266,-8.514163970947266,-11.7913;-2.5110;-4.7663;-3.3643;-9.3092;-6.1603;-6.3357;-9.8893;-6.5973;-11.0469;-10.2417;-7.7656;-10.3454;-9.3417;-10.7502;-9.4155;-10.0030;-7.6949;-11.2180;-5.6258;-7.7607;-6.8250;-7.5903;-7.5490;-5.3016;-5.3847;-9.2174;-10.2139;-10.0210;-7.0020;-4.5295;-4.6692;-7.1372;-7.5414;-8.1438;-1.1609;-9.3518;-9.0065;-6.3530;-8.6313;-7.6186;-14.8599;-11.2314,-1.160922884941101,-7.3532410860061646,0,25,44,0.04
3,kommen,short,1,"März 1868 , als er unter großem Beifall ausführte , das Konkordat von 1855 komme ihm",vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"März 1868, als er unter großem Beifall ausführte, das Konkordat von 1855 komme ihm vor.",ihm,train-s2913,de_gsd-ud-train.conllu,-3.800354480743408,-3.800354480743408,-7.5481;-6.3655;-5.2184;-6.3044;-5.9915;-11.1762;-7.8120;-13.1458;-5.9243;-2.8361;-9.3589;-6.1436;-10.2511;-9.3931;-12.5625;-13.2955;-9.8130;-9.2460;-13.3060;-11.9541;-8.8655;-6.7601;-10.7149;-12.7075;-5.1455;-5.4092;-7.9194;-13.6262;-10.2589;-5.0536;-10.0510;-11.5384;-11.0740;-8.8952;-4.8217;-2.5171;-3.3453;-10.9443;-6.5262;-10.2069;-9.6789;-7.4784;-6.9318,-2.5171399116516113,-1.2832145690917969,0,4,44,0.25
4,kommen,medium,3,"Auf Autofahrer , die an dem Steuer telefonieren , kommen möglicherweise härtere Strafen",zu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Auf Autofahrer , die am Steuer telefonieren , kommen möglicherweise härtere Strafen zu .",möglicherweise härtere Strafen,hdt-s71923,de_hdt-ud-train-a-2.conllu,-1.0228931903839111,-1.0228931903839111,-13.2178;-8.5842;-3.2887;-8.2889;-8.5562;-7.4116;-6.2252;-6.9346;-6.8748;-8.3420;-10.9228;-10.3124;-6.6786;-8.3464;-9.8591;-9.8175;-13.1706;-7.6236;-11.9124;-9.3788;-5.4905;-9.6087;-13.9710;-11.5289;-7.2313;-6.5708;-11.1214;-8.8391;-9.3089;-7.5342;-8.9514;-11.1611;-8.9993;-10.4607;-10.1390;-10.3487;-6.3516;-13.0142;-7.9634;-8.0276;-8.4142;-10.1590;-11.2484,-3.2887070178985596,2.2658138275146484,1,1,44,1.0
5,kommen,medium,3,Der Begriff Open Source kommt dabei allerdings nicht,vor,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,Der Begriff Open Source kommt dabei allerdings nicht vor .,dabei allerdings nicht,hdt-s59420,de_hdt-ud-train-a-1.conllu,-3.028153896331787,-3.028153896331787,-13.5898;-6.9540;-5.6067;-3.6408;-7.5969;-9.3218;-10.1988;-13.1872;-7.6021;-11.7119;-11.5131;-8.1500;-10.8230;-9.0169;-13.0700;-9.9414;-12.1576;-10.5073;-14.0778;-13.3651;-10.4862;-10.3772;-7.4909;-11.9321;-6.8536;-9.7414;-9.1242;-11.8627;-9.6696;-9.0280;-10.1220;-12.1102;-9.6418;-9.4839;-7.7916;-5.0929;-10.1227;-10.4065;-10.5945;-9.7025;-6.8042;-15.7824;-12.5870,-3.640845775604248,0.6126918792724609,1,1,44,1.0
6,kommen,medium,4,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge",davon,Recht;an;auf;aus;daher;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Die drei Software-Fälscher , die von Microsoft auf über 10 Millionen Mark Schadensersatz verklagt worden waren , kommen mit einem blauen Auge davon .",mit einem blauen Auge,hdt-s51799,de_hdt-ud-train-a-1.conllu,-0.0029252853710204363,-0.0029252853710204363,-16.8852;-13.5192;-12.6616;-6.2680;-12.9027;-12.1519;-16.3482;-8.9018;-17.1543;-12.2962;-16.8194;-15.4086;-10.4348;-17.2924;-12.5481;-18.0888;-15.4577;-14.3069;-15.4222;-15.6046;-15.4983;-11.3336;-14.5471;-12.6971;-10.6227;-19.4103;-11.0308;-16.7913;-13.6008;-13.3076;-12.0363;-14.7437;-9.9112;-11.0365;-9.7764;-11.5384;-18.7083;-12.4865;-11.4733;-16.7258;-16.2054;-22.9155;-16.9243,-6.2679667472839355,6.265041461912915,1,1,44,1.0
7,kommen,long,12,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht",klar,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Das mit dem Slogan "" ME too "" beworbene Programm kommt offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht klar .",offensichtlich mit den bei Windows ME auf jedem Laufwerk vorhandenen Restore-Ordnern nicht,hdt-s21211,de_hdt-ud-train-a-1.conllu,-0.9517720937728882,-0.9517720937728882,-11.4821;-9.1943;-7.6792;-4.4977;-10.8856;-12.5044;-10.3913;-13.7892;-10.2194;-12.2904;-13.7225;-10.1242;-11.9837;-10.4507;-13.3505;-10.2598;-14.0178;-6.4785;-10.4506;-8.0302;-12.2686;-10.5751;-11.0588;-5.0986;-8.3104;-11.5685;-10.5354;-11.0665;-10.8847;-11.0547;-8.9072;-13.0150;-10.5510;-6.7968;-11.4575;-6.1843;-15.7047;-0.7686;-12.6971;-7.5157;-11.4196;-19.1899;-16.7938,-0.7686399221420288,-0.18313217163085938,0,2,44,0.5
8,kommen,long,9,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hinzu,Recht;an;auf;aus;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Störend kommen hier Rauschen , Übersprechen , Resonanzen und andere Effekte hinzu .","hier Rauschen , Übersprechen , Resonanzen und andere Effekte",hdt-s13747,de_hdt-ud-test.conllu,-2.566704273223877,-2.566704273223877,-15.2024;-3.7469;-3.4306;-4.3112;-4.4197;-8.8745;-3.3018;-8.9619;-4.5959;-7.1659;-12.2579;-8.1384;-8.0437;-5.4293;-6.0191;-8.4965;-10.3584;-4.8594;-10.5282;-9.6237;-7.4701;-8.5622;-11.6897;-4.4496;-7.6958;-9.2074;-6.2229;-5.1516;-6.5002;-1.8191;-9.6280;-7.9833;-6.4738;-10.3808;-7.5879;-3.6816;-8.9964;-11.0064;-8.4233;-4.0384;-4.2400;-14.8501;-12.3503,-1.8190733194351196,-0.7476309537887573,0,2,44,0.5
9,kommen,long,12,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung",aus,Recht;an;auf;daher;davon;dazu;dran;durch;entgegen;frei;gleich;heran;heraus;herein;herum;hierher;hin;hinaus;hinterher;hinzu;hoch;klar;los;mit;nach;näher;raus;rein;unter;vor;voran;vorbei;weg;weiter;wieder;zu;zugute;zurecht;zurück;zusammen;zustande;zuteil;zuvor,44,"Da die Spannung quadratisch in den Verbrauch eingeht , käme der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung aus , was ein Vergleich der maximalen Leistungsaufnahme auch bestätigt :",der Mobile Pentium III-M bei gleicher Taktrate mit einem Drittel weniger Akkuleistung,hdt-s188571,de_hdt-ud-train-b-2.conllu,-0.30715927481651306,-0.30715927481651306,-14.0155;-6.0293;-3.8698;-4.5535;-8.1568;-8.1917;-11.9488;-6.3509;-11.8681;-13.0021;-8.3870;-10.9492;-5.1108;-12.0410;-9.9121;-12.4640;-6.0701;-9.6329;-9.4684;-9.5197;-9.8556;-6.7157;-11.4812;-6.2742;-6.6431;-11.3855;-6.0051;-10.1340;-6.8756;-8.0766;-8.3807;-10.6928;-6.8868;-7.5592;-7.0450;-5.8494;-13.2102;-6.3536;-9.1992;-10.7776;-9.8244;-18.1026;-14.0095,-3.8698041439056396,3.5626448690891266,1,1,44,1.0
10,gehen,short,1,Verfassungschützer gehen davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Verfassungschützer gehen davon aus , dass es rund 800 deutschsprachige Internet-Angebote mit rechtsextremistischen Inhalten gibt .",davon,hdt-s104778,de_hdt-ud-dev.conllu,-0.0023028540890663862,-0.0023028540890663862,-10.3675;-18.8501;-12.3517;-10.7828;-18.8378;-12.7965;-19.2001;-17.3024;-13.3496;-12.1577;-13.2010;-14.4619;-13.4836;-12.8928;-12.7401;-11.9325;-12.2493;-11.2233;-14.9423;-14.0570;-13.0051;-11.4152;-11.6083;-20.4308;-12.5225;-16.4606;-10.9926;-14.8217;-15.9775;-11.7968;-15.7026;-13.0962;-16.4283;-11.8727;-11.4477;-12.0637;-15.3671;-12.6264;-14.6645;-11.5412,-10.367461204528809,10.365158350439742,1,1,41,1.0
11,gehen,short,1,Die Untersuchung geht davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Die Untersuchung geht davon aus , daß Online-Werbung überdies eher wahrgenommen werde als Werbung im Fernsehen .",davon,hdt-s101616,de_hdt-ud-train-a-2.conllu,-0.0017675028648227453,-0.0017675028648227453,-11.3846;-19.0598;-12.9547;-11.4351;-18.7005;-12.5872;-18.7043;-18.3937;-13.5321;-12.4001;-12.3681;-15.3767;-15.0585;-12.0060;-13.0960;-11.2493;-12.5194;-11.0669;-15.4209;-15.4704;-12.6613;-11.6546;-11.7816;-20.2897;-12.6068;-17.3939;-10.7872;-15.3962;-15.1503;-11.4094;-15.1668;-12.2946;-16.2218;-11.8526;-10.6928;-12.3874;-14.2905;-12.8489;-15.1554;-10.9872,-10.692756652832031,10.690989149967209,1,1,41,1.0
12,gehen,short,1,Aus der heute veröffentlichten Mitteilung geht lediglich,hervor,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Aus der heute veröffentlichten Mitteilung geht lediglich hervor , dass das Unternehmen den Verkaufsstart der Konsole in Europa im Frühjahr 2002 erwartet .",lediglich,hdt-s66323,de_hdt-ud-train-a-2.conllu,-0.09978871047496796,-0.09978871047496796,-10.6665;-14.0152;-5.6359;-5.5968;-15.3419;-4.5129;-12.3407;-16.7810;-13.3086;-8.3810;-5.3247;-9.2561;-12.7749;-15.3528;-10.0347;-12.5672;-10.8656;-10.1322;-14.6244;-12.1807;-12.3377;-8.3567;-8.9554;-14.9403;-6.3722;-13.9320;-6.9729;-12.3313;-15.9099;-8.9563;-11.4373;-9.1186;-13.9338;-12.0731;-6.9365;-8.5182;-14.2233;-9.8566;-11.6193;-7.2006,-4.512861251831055,4.413072541356087,1,1,41,1.0
13,gehen,medium,7,Hier geht seinem Eigennamen die Bezeichnung Herr der Kronen,voraus,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,Hier geht seinem Eigennamen die Bezeichnung Herr der Kronen voraus.,seinem Eigennamen die Bezeichnung Herr der Kronen,train-s5315,de_gsd-ud-train.conllu,-1.5488557815551758,-1.5488557815551758,-6.6184;-13.9503;-4.6297;-2.3264;-13.7725;-4.7993;-10.4796;-13.4238;-8.7532;-7.7795;-3.8199;-4.6085;-2.7796;-11.0017;-7.9236;-11.7283;-6.9452;-8.4523;-12.0958;-9.2305;-10.6207;-5.8920;-6.1539;-2.6566;-13.4186;-6.9135;-11.8630;-5.2725;-5.3254;-11.9161;-6.6270;-4.6711;-8.9983;-6.7072;-6.8547;-3.8130;-6.0787;-4.8007;-7.9370;-5.4966,-2.326371192932129,0.7775154113769531,1,1,41,1.0
14,gehen,medium,4,Gerade in Städten und dichter besiedelten Regionen jedoch gehen immer mehr Feuerwehren dazu,über,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen,41,"Gerade in Städten und dichter besiedelten Regionen jedoch gehen immer mehr Feuerwehren dazu über, auf die sogenannte stille Alarmierung mittels Funkmeldeempfänger und vereinzelt auch zusätzlich per SMS umzustellen.",immer mehr Feuerwehren dazu,train-s5038,de_gsd-ud-train.conllu,-0.0019042231142520905,-0.0019042231142520905,-13.9938;-21.2821;-13.4182;-11.1385;-23.0399;-12.7245;-17.2244;-23.3289;-20.3920;-15.2168;-12.4946;-14.6824;-15.9665;-17.2389;-15.5809;-17.3178;-17.8906;-14.0639;-15.9494;-16.3895;-14.6614;-15.7134;-12.7956;-13.1298;-17.7021;-15.3713;-18.2270;-11.7169;-15.7775;-18.1665;-13.4057;-15.1647;-17.6438;-15.1650;-14.3610;-13.3843;-12.5120;-19.0629;-10.7864;-17.5581,-10.786370277404785,10.784466054290533,1,1,41,1.0
15,gehen,medium,4,Möglicherweise aber gingen die Araber noch anders,vor,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,Möglicherweise aber gingen die Araber noch anders vor .,die Araber noch anders,hdt-s102448,de_hdt-ud-dev.conllu,-0.19902899861335754,-0.19902899861335754,-10.3208;-20.1932;-3.1429;-6.6536;-17.8941;-8.3750;-12.2716;-18.8772;-12.4052;-8.9155;-10.5384;-10.4577;-11.3119;-12.7307;-10.8493;-8.9257;-11.9864;-10.7802;-9.9533;-11.4176;-11.5983;-11.1635;-2.4715;-8.4943;-14.4006;-5.5040;-12.6565;-9.9869;-14.0082;-10.0059;-6.8296;-10.1315;-12.5032;-11.9453;-8.7827;-6.2551;-10.1289;-11.1845;-11.0275;-7.8900,-2.4714975357055664,2.272468537092209,1,1,41,1.0
16,gehen,long,13,Den Gewinnrückgang aus dem operativen Geschäft geht vor allem auf Preissenkungen in dem Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden,zurück,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zusammen;über,41,Den Gewinnrückgang aus dem operativen Geschäft geht vor allem auf Preissenkungen im Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden zurück .,vor allem auf Preissenkungen in dem Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden,hdt-s38729,de_hdt-ud-train-a-1.conllu,-0.21542321145534515,-0.21542321145534515,-9.8126;-16.5774;-7.0733;-6.5731;-18.3190;-5.8015;-15.0136;-18.0447;-13.9317;-6.5826;-11.1716;-9.7286;-14.0156;-13.0067;-11.6361;-13.9094;-12.0379;-8.4602;-10.8550;-13.3312;-12.8205;-12.6699;-6.1220;-7.7213;-17.0750;-7.6108;-16.8865;-8.3174;-11.9916;-15.6788;-7.9601;-12.8894;-11.7568;-14.0300;-11.1514;-11.0880;-7.4122;-12.6169;-7.1672;-8.6422,-5.801499843597412,5.586076632142067,1,1,41,1.0
17,gehen,long,8,"Für 2001 geht man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar",aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Für 2001 geht man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar aus .","man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar",hdt-s41544,de_hdt-ud-train-a-1.conllu,-0.3371296226978302,-0.3371296226978302,-9.8155;-13.5802;-6.2158;-6.0243;-10.0465;-13.1450;-14.8158;-16.9661;-6.5442;-10.2056;-12.3716;-11.9069;-10.1461;-9.9137;-13.2142;-11.1756;-10.4439;-10.8131;-12.2816;-11.4490;-13.4102;-5.4114;-6.7844;-18.7427;-9.1007;-15.1607;-7.8908;-12.4453;-17.0178;-8.3132;-15.2110;-8.5455;-15.0686;-11.2330;-9.4169;-8.0030;-12.3659;-10.2591;-10.3547;-7.1498,-5.41139030456543,5.0742606818675995,1,1,41,1.0
